CRPName,CID,Party,DistIDRunFor,State,District,Name
"Perez, Marty",N00043462,R,TX27,TX,27,Marty Perez
"Perez, N Ruben",N00026186,L,TX29,TX,29,N Ruben Perez
"Perez, Tom",N00040750,R,SC01,SC,1,Tom Perez
"Perkins, Jo Rae",N00035512,R,OR04,OR,4,Jo Rae Perkins
"Perlmutter, Ed",N00027510,D,CO07,CO,7,Ed Perlmutter
"Perri, Chris",N00040984,D,TX25,TX,25,Chris Perri
"Perri, Elizabeth",N00036567,3,NY14,NY,14,Elizabeth Perri
"Perry, Christy",N00042110,R,ID01,ID,1,Christy Perry
"Perry, Paul",N00041180,D,PA07,PA,7,Paul Perry
"Perry, Scott",N00034120,R,PA10,PA,10,Scott Perry
"Persson, Carl Johan Mr.",N00042866,R,NC12,NC,12,Carl Johan Mr. Persson
"Peruski, Jeremy Michael",N00043327,I,MI10,MI,10,Jeremy Michael Peruski
"Peterka, Jessica",N00040980,I,TX18,TX,18,Jessica Peterka
"Peters , Herb",N00039914,D,CAS2,CA,S2,Herb Peters 
"Peters, Brandon",N00042616,D,FL02,FL,2,Brandon Peters
"Peters, Christopher",N00039395,R,IA02,IA,2,Christopher Peters
"Peters, Joe",N00042207,R,PA08,PA,8,Joe Peters
"Peters, John",N00041391,D,OH12,OH,12,John Peters
"Peters, Ruby",N00043371,I,OK04,OK,4,Ruby Peters
"Peters, Rudy",N00042781,R,CA15,CA,15,Rudy Peters
"Peters, Scott",N00033591,D,CA52,CA,52,Scott Peters
"Petersen, Austin",N00038525,R,MOS2,MO,S2,Austin Petersen
"Peterson, Collin",N00004558,D,MN07,MN,7,Collin Peterson
"Peterson, David",N00030903,D,CA01,CA,1,David Peterson
"Peterson, Lea Marquez",N00042047,R,AZ02,AZ,2,Lea Marquez Peterson
"Petroff, John",N00042829,D,IN02,IN,2,John Petroff
"Pettersen, Brittany",N00040878,D,CO07,CO,7,Brittany Pettersen
"Pettigrew, Aaron L",N00042565,R,TNS1,TN,S1,Aaron L Pettigrew
"Pettinato, Jared",N00041975,D,MT01,MT,1,Jared Pettinato
"Petzel, Geoffrey",N00033609,D,IL06,IL,6,Geoffrey Petzel
"Peyer, Dustin",N00041444,D,NDS2,ND,S2,Dustin Peyer
"Pezzullo, Rich",N00000775,R,NJ06,NJ,6,Rich Pezzullo
"Pfalzgraf, Eric",N00041878,D,TX11,TX,11,Eric Pfalzgraf
"Pfeifer, Peter",N00043404,R,MOS2,MO,S2,Peter Pfeifer
"Pham, Ethan",N00041495,D,GA07,GA,7,Ethan Pham
"Phifer, Leah",N00041970,D,MN08,MN,8,Leah Phifer
"Phillips, Bartholomew J",N00036437,I,TNS1,TN,S1,Bartholomew J Phillips
"Phillips, Brendan",N00041711,3,UT03,UT,3,Brendan Phillips
"Phillips, Breton",N00043591,R,TNS1,TN,S1,Breton Phillips
"Phillips, Dean",N00041134,D,MN03,MN,3,Dean Phillips
"Phillips, Heath",N00041386,D,NY22,NY,22,Heath Phillips
"Phillips, Mariah",N00040966,D,TN04,TN,4,Mariah Phillips
"Phillips, Rupie Jr",N00041249,R,WV03,WV,3,Rupie Jr Phillips
"Phoenix, Jess",N00040859,D,CA25,CA,25,Jess Phoenix
"Piatt, Patti",N00042128,D,KY04,KY,4,Patti Piatt
"Piegza, Larry",N00042187,3,NY27,NY,27,Larry Piegza
"Pierce, Douglas",N00039040,D,CAS2,CA,S2,Douglas Pierce
"Pierce, Shannon",N00042914,R,SC04,SC,4,Shannon Pierce
"Pierson, Nick",N00042375,R,AZ03,AZ,3,Nick Pierson
"Pikus, Patrick",N00042685,D,OH07,OH,7,Patrick Pikus
"Pilkington, Greg",N00040671,D,FL15,FL,15,Greg Pilkington
"Pilskog, Adam",N00043605,I,WA01,WA,1,Adam Pilskog
"Pingree, Chellie",N00013817,D,ME01,ME,1,Chellie Pingree
"Pinion, Timothy A.",N00043310,R,OHS1,OH,S1,Timothy A. Pinion
"Pinjuv, Guy",N00042178,D,NV03,NV,3,Guy Pinjuv
"Piper, John Patrick",N00041733,I,INS1,IN,S1,John Patrick Piper
"Pirkowski, Eddie",N00028771,R,HIS2,HI,S2,Eddie Pirkowski
"Pistone, John",N00030781,R,CT05,CT,5,John Pistone
"Pittenger, Robert",N00034416,R,NC09,NC,9,Robert Pittenger
"Pittman, Trip",N00041270,R,ALS1,AL,S1,Trip Pittman
"Plaskett, Stacey",N00035000,D,VI00,VI,0,Stacey Plaskett
"Plummer, Gerald",N00043278,D,CAS2,CA,S2,Gerald Plummer
"Plummer, Letitia",N00041203,D,TX22,TX,22,Letitia Plummer
"Pocan, Mark",N00033549,D,WI02,WI,2,Mark Pocan
"Poe, Ted",N00026457,R,TX02,TX,2,Ted Poe
"Polce, Nick",N00042019,R,WI01,WI,1,Nick Polce
"Polen, Michael",N00043229,R,OR04,OR,4,Michael Polen
"Poliquin, Bruce",N00034584,R,ME02,ME,2,Bruce Poliquin
"Pollard, Andre",N00040687,I,GA06,GA,6,Andre Pollard
"Pollard, Bill",N00041490,D,FL17,FL,17,Bill Pollard
"Pollock, Randy",N00043223,R,OR02,OR,2,Randy Pollock
"Pope, Elliot",N00042531,R,VA06,VA,6,Elliot Pope
"Pope, Tommy",N00040754,R,SC05,SC,5,Tommy Pope
"Porter, Eddie Ray",N00041393,D,OK05,OK,5,Eddie Ray Porter
"Porter, Ernest",N00041889,D,VA02,VA,2,Ernest Porter
"Porter, Katie",N00040865,D,CA45,CA,45,Katie Porter
"Porter, Stevan",N00040773,L,VA11,VA,11,Stevan Porter
"Posey, Bill",N00029662,R,FL08,FL,8,Bill Posey
"Post, Dynda Rose",N00043216,D,OK02,OK,2,Dynda Rose Post
"Postemski, Dan",N00043012,R,CT02,CT,2,Dan Postemski
"Poteet, Al",N00042270,R,TX21,TX,21,Al Poteet
"Pounds, Bunni",N00042235,R,TX05,TX,5,Bunni Pounds
"Powell, Jon",N00040991,D,TX36,TX,36,Jon Powell
"Powers, Kevin",N00041958,R,MA02,MA,2,Kevin Powers
"Pozos, Clare Putnam",N00042707,R,PA05,PA,5,Clare Putnam Pozos
"Praver, Shaul",N00043316,D,CT05,CT,5,Shaul Praver
"Prejean, Christina",N00042393,D,CA49,CA,49,Christina Prejean
"Presley, Elvis",N00043094,L,AR01,AR,1,Elvis Presley
"Pressley, Ayanna",N00042581,D,MA07,MA,7,Ayanna Pressley
"Pressman, Jonathan",N00043493,D,RIS1,RI,S1,Jonathan Pressman
"Pretot, Jake",N00042143,D,MD02,MD,2,Jake Pretot
"Price, David",N00002260,D,NC04,NC,4,David Price
"Price, Phillip",N00041369,D,NC11,NC,11,Phillip Price
"Price, Suzyn",N00041109,D,IL06,IL,6,Suzyn Price
"Price, Thomas",N00042076,D,CA42,CA,42,Thomas Price
"Pries, Mike",N00042210,R,PA07,PA,7,Mike Pries
"Prigg, Tom",N00040749,D,PA14,PA,14,Tom Prigg
"Pringle, David",N00042167,D,NJ07,NJ,7,David Pringle
"Probasco, Kevin",N00043049,R,UT01,UT,1,Kevin Probasco
"Profit, Joe",N00043147,R,GA04,GA,4,Joe Profit
"Prosch, Matt",N00041360,R,MN07,MN,7,Matt Prosch
"Pross, Gordon",N00007956,R,WA08,WA,8,Gordon Pross
"Pruett, Jim",N00041572,D,IN06,IN,6,Jim Pruett
"Pruitt, Autry",N00041877,R,TX21,TX,21,Autry Pruitt
"Pruitt, Dean",N00040895,D,IL12,IL,12,Dean Pruitt
"Puett, Kevin",N00043003,D,CA03,CA,3,Kevin Puett
"Pugh, Bryan",N00043457,3,SC06,SC,6,Bryan Pugh
"Pulcher, Jacob",N00042446,L,MD05,MD,5,Jacob Pulcher
"Puletasi , Sam",N00040137,D,HI01,HI,1,Sam Puletasi 
"Pullen, Mike",N00041506,D,MD01,MD,1,Mike Pullen
"Pullins, Pierre",N00028240,D,IN07,IN,7,Pierre Pullins
"Pureval, Aftab",N00042676,D,OH01,OH,1,Aftab Pureval
"Purkis, Angelika",N00042617,I,FL12,FL,12,Angelika Purkis
"Pyle, Dennis",N00031386,R,KS02,KS,2,Dennis Pyle
"Qudrat, Omar",N00041079,R,CA52,CA,52,Omar Qudrat
"Queen, Kenneth",N00041146,D,NC10,NC,10,Kenneth Queen
"Quick, Laura",N00043238,D,PA09,PA,9,Laura Quick
"Quigg, Rebecca",N00040642,D,GA06,GA,6,Rebecca Quigg
"Quigley, Mike",N00030581,D,IL05,IL,5,Mike Quigley
"Quinn, Christine",N00039087,R,FL14,FL,14,Christine Quinn
"Quinn, Patrick J",N00042686,R,OH07,OH,7,Patrick J Quinn
"Quintanilla, Carlos",N00038839,D,TX33,TX,33,Carlos Quintanilla
"Quintero, Andre",N00040646,D,CA32,CA,32,Andre Quintero
"Quintero, Norman",N00042075,D,CA42,CA,42,Norman Quintero
"Quist, Robert E.",N00040729,D,MT01,MT,1,Robert E. Quist
"Rab, Raji",N00036728,D,CA30,CA,30,Raji Rab
"Rabin, Eliot",N00043521,R,NY12,NY,12,Eliot Rabin
"Rabinowitz, Jeffrey G",N00037587,I,FL15,FL,15,Jeffrey G Rabinowitz
"Racioppi, Sam",N00041574,L,MA06,MA,6,Sam Racioppi
"Rackleff, Bob",N00041324,D,FL02,FL,2,Bob Rackleff
"Raczkowski, Rocky",N00013848,R,MI11,MI,11,Rocky Raczkowski
"Rader, Betsy",N00040943,D,OH14,OH,14,Betsy Rader
"Radewagen, Amata Coleman",N00007635,R,AS00,AS,0,Amata Coleman Radewagen
"Radice, Timothy",N00042123,R,IN04,IN,4,Timothy Radice
"Radinovich, Joe",N00042858,D,MN08,MN,8,Joe Radinovich
"Raiklin, Ivan",N00042366,R,VAS1,VA,S1,Ivan Raiklin
"Rajiah, James",N00043213,I,OH14,OH,14,James Rajiah
"Ramirez, Rita",N00029652,D,CA08,CA,8,Rita Ramirez
"Ramirez-Rosa, Carlos",N00042115,D,IL04,IL,4,Carlos Ramirez-Rosa
"Ramsay, Greg",N00041481,D,CA45,CA,45,Greg Ramsay
"Ramsey, Andrea",N00041123,D,KS03,KS,3,Andrea Ramsey
"Ramsey, George",N00041103,D,IA01,IA,1,George Ramsey
"Rangel, Roland",N00039167,L,TX24,TX,24,Roland Rangel
"Rao, Saira",N00042397,D,CO01,CO,1,Saira Rao
"Raphoon, Megan Renee",N00043439,I,MI13,MI,13,Megan Renee Raphoon
"Rapini, Dominic",N00041472,R,CTS1,CT,S1,Dominic Rapini
"Raskin, Jamie",N00037036,D,MD08,MD,8,Jamie Raskin
"Ratcliffe, John Lee",N00035972,R,TX04,TX,4,John Lee Ratcliffe
"Ratigan, Dylan",N00042886,D,NY21,NY,21,Dylan Ratigan
"Ratterree, Troy",N00042513,R,TX06,TX,6,Troy Ratterree
"Ray, Johnny Allen",N00041694,R,SC07,SC,7,Johnny Allen Ray
"Ray, Patricia Torres",N00043582,D,MN05,MN,5,Patricia Torres Ray
"Raybould, Jane",N00041739,D,NES1,NE,S1,Jane Raybould
"Rea, John",N00002002,D,MD03,MD,3,John Rea
"Redd, Shawn",N00037582,R,AZS2,AZ,S2,Shawn Redd
"Reddick, Rachel",N00041861,D,PA01,PA,1,Rachel Reddick
"Reed, Dave",N00042499,R,PA13,PA,13,Dave Reed
"Reed, Mark",N00030776,R,CA30,CA,30,Mark Reed
"Reed, Tom",N00030949,R,NY23,NY,23,Tom Reed
"Reed, Wendy",N00038410,D,CA23,CA,23,Wendy Reed
"Reel, Matt",N00042504,D,TN07,TN,7,Matt Reel
"Reeves, Jason",N00036005,L,TX33,TX,33,Jason Reeves
"Regalado, Raquel",N00041493,R,FL27,FL,27,Raquel Regalado
"Register, Benjamin Patrick",N00042867,D,NC12,NC,12,Benjamin Patrick Register
"Reid, Derrick Michael",N00037353,L,CAS2,CA,S2,Derrick Michael Reid
"Reid, Ron",N00041640,D,FL11,FL,11,Ron Reid
"Reilly, Josh",N00043574,3,AZ02,AZ,2,Josh Reilly
"Reilly, Steve",N00034783,D,GA07,GA,7,Steve Reilly
"Reinecker, Nick",N00043505,R,KS01,KS,1,Nick Reinecker
"Reiser, Brandon",N00041077,L,CA48,CA,48,Brandon Reiser
"Reiss, John",N00040695,D,HI02,HI,2,John Reiss
"Remmer, Lisa",N00042780,R,CA12,CA,12,Lisa Remmer
"Renacci, Jim",N00031127,R,OHS1,OH,S1,Jim Renacci
"Renison, John",N00042395,R,CA51,CA,51,John Renison
"Rennhack, John",N00042472,D,NY22,NY,22,John Rennhack
"Reschenthaler, Guy",N00041871,R,PA14,PA,14,Guy Reschenthaler
"Rey, Juan",N00043123,I,CA29,CA,29,Juan Rey
"Reyes, Augustine",N00042526,D,TX29,TX,29,Augustine Reyes
"Reyes, Carlos",N00041560,R,FL23,FL,23,Carlos Reyes
"Reyes, Richard Travis",N00043546,L,WA08,WA,8,Richard Travis Reyes
"Reyes-Aguirre, Eve",N00042754,3,AZS2,AZ,S2,Eve Reyes-Aguirre
"Reynolds, Brian J.",N00043583,I,NJ04,NJ,4,Brian J. Reynolds
"Reynolds, Robert L",N00043232,R,OR05,OR,5,Robert L Reynolds
"Reynolds, Steven",N00039835,D,TN04,TN,4,Steven Reynolds
"Rhea, Bill",N00041775,R,CO05,CO,5,Bill Rhea
"Rheinhart, Allen",N00039723,D,NVS1,NV,S1,Allen Rheinhart
"Rhodes, Gareth",N00040938,D,NY19,NY,19,Gareth Rhodes
"Rice, Johnny",N00041127,R,MD05,MD,5,Johnny Rice
"Rice, Kathleen",N00035927,D,NY04,NY,4,Kathleen Rice
"Rice, Maxwell",N00040894,R,IL09,IL,9,Maxwell Rice
"Rice, Richard Brand New",N00041057,D,AL07,AL,7,Richard Brand New Rice
"Rice, Tom",N00033832,R,SC07,SC,7,Tom Rice
"Rich, Mick",N00040815,R,NMS1,NM,S1,Mick Rich
"Rich, Tim",N00041355,D,ME02,ME,2,Tim Rich
"Richards, Leonard J",N00010242,D,MNS2,MN,S2,Leonard J Richards
"Richardson, Chardo",N00041088,D,FL07,FL,7,Chardo Richardson
"Richardson, David",N00041492,D,FL27,FL,27,David Richardson
"Richardson, Marvin",N00030125,3,ID01,ID,1,Marvin Richardson
"Richardson, Robert",N00042065,3,CA09,CA,9,Robert Richardson
"Richmond, Cedric",N00030184,D,LA02,LA,2,Cedric Richmond
"Richmond, Isaac",N00003241,D,TN09,TN,9,Isaac Richmond
"Rickards, Peter",N00008357,D,ID02,ID,2,Peter Rickards
"Ricker, Sean",N00041195,R,TX08,TX,8,Sean Ricker
"Rieger, Chris",N00041395,D,PA16,PA,16,Chris Rieger
"Rients, Don",N00037032,R,IL18,IL,18,Don Rients
"Ries, Robert",N00043169,D,MN01,MN,1,Robert Ries
"Riggleman, Denver",N00043541,R,VA05,VA,5,Denver Riggleman
"Riley, Kris Ann Ms.",N00040777,I,WI05,WI,5,Kris Ann Ms. Riley
"Ring, Lisa",N00041331,D,GA01,GA,1,Lisa Ring
"Ringelstein, Zak",N00041921,D,MES1,ME,S1,Zak Ringelstein
"Rittereiser, Jason",N00041423,D,WA08,WA,8,Jason Rittereiser
"Rivera, Natalie Lynn",N00043414,I,NJS1,NJ,S1,Natalie Lynn Rivera
"Rivers, Don",N00042994,D,WAS1,WA,S1,Don Rivers
"Robbins, Frankie",N00030199,D,OK03,OK,3,Frankie Robbins
"Roberson, John",N00034320,D,IN03,IN,3,John Roberson
"Roberts, Boyd",N00035354,D,CA48,CA,48,Boyd Roberts
"Roberts, Clifton",N00038874,I,CAS2,CA,S2,Clifton Roberts
"Roberts, Ira",N00040924,R,NC10,NC,10,Ira Roberts
"Roberts, Kevin",N00042219,R,TX02,TX,2,Kevin Roberts
"Roberts, Mark",N00043224,3,OR02,OR,2,Mark Roberts
"Roberts, Shawna",N00042683,D,OH06,OH,6,Shawna Roberts
"Robertson, Annabelle",N00042714,D,SC02,SC,2,Annabelle Robertson
"Robertson, Terry",N00036946,R,OH07,OH,7,Terry Robertson
"Robinson, Art",N00032006,R,OR04,OR,4,Art Robinson
"Robinson, Gil",N00042938,L,TX21,TX,21,Gil Robinson
"Roby, Martha",N00030768,R,AL02,AL,2,Martha Roby
"Rochester, Lisa Blunt",N00038414,D,DE01,DE,1,Lisa Blunt Rochester
"Rockhold, Chris",N00040718,L,KS04,KS,4,Chris Rockhold
"Rodgers, Cathy McMorris",N00026314,R,WA05,WA,5,Cathy McMorris Rodgers
"Rodgers, Emory",N00039652,D,CA33,CA,33,Emory Rodgers
"Rodriguez, Darrell",N00040988,D,TX32,TX,32,Darrell Rodriguez
"Rodriguez, George",N00041213,D,TX32,TX,32,George Rodriguez
"Rodriguez, Jose Javier",N00041330,D,FL27,FL,27,Jose Javier Rodriguez
"Rodriguez, Junius",N00040210,D,IL18,IL,18,Junius Rodriguez
"Rodriguez-Aguilera, Bettina",N00041642,R,FL27,FL,27,Bettina Rodriguez-Aguilera
"Roe, Phil",N00028463,R,TN01,TN,1,Phil Roe
"Roesler, Russell Paul",N00041710,I,UT03,UT,3,Russell Paul Roesler
"Rogers, Curtis Ralph",N00043503,R,FL15,FL,15,Curtis Ralph Rogers
"Rogers, Hal",N00003473,R,KY05,KY,5,Hal Rogers
"Rogers, Kesha",N00031548,I,TX09,TX,9,Kesha Rogers
"Rogers, Mike D",N00024759,R,AL03,AL,3,Mike D Rogers
"Rogers, Wendy",N00042775,R,AZ01,AZ,1,Wendy Rogers
"Rohrabacher, Dana",N00007151,R,CA48,CA,48,Dana Rohrabacher
"Rohrs, Brad",N00042447,R,MD06,MD,6,Brad Rohrs
"Rokita, Todd",N00031741,R,INS1,IN,S1,Todd Rokita
"Roldan-Johnson, Daniel",N00042428,D,IL14,IL,14,Daniel Roldan-Johnson
"Romero, Paul Jr",N00039420,R,OR02,OR,2,Paul Jr Romero
"Romley, Ken",N00041835,D,NC02,NC,2,Ken Romley
"Romney, Mitt",N00000286,R,UTS1,UT,S1,Mitt Romney
"Ronan, Sam",N00038447,R,OH01,OH,1,Sam Ronan
"Rooney, Francis",N00040007,R,FL19,FL,19,Francis Rooney
"Rooney, Tom",N00029018,R,FL17,FL,17,Tom Rooney
"Rosas, Eduardo",N00042443,D,MD03,MD,3,Eduardo Rosas
"Rosas, Emily",N00042043,R,FL01,FL,1,Emily Rosas
"Rose, E Brian",N00041972,R,MS04,MS,4,E Brian Rose
"Rose, John",N00041599,R,TN06,TN,6,John Rose
"Rose, Max",N00041588,D,NY11,NY,11,Max Rose
"Rosen, Jacky",N00038734,D,NVS1,NV,S1,Jacky Rosen
"Rosendale, Matt",N00035517,R,MTS1,MT,S1,Matt Rosendale
"Roskam, Peter",N00004719,R,IL06,IL,6,Peter Roskam
"Ross, David",N00039841,L,TN06,TN,6,David Ross
"Ross, Dennis",N00030645,R,FL15,FL,15,Dennis Ross
"Ross, Felicia",N00043212,D,OH11,OH,11,Felicia Ross
"Ross, Heather",N00041557,D,AZ06,AZ,6,Heather Ross
"Rossi, Dino",N00032631,R,WA08,WA,8,Dino Rossi
"Rothfus, Keith J",N00031253,R,PA17,PA,17,Keith J Rothfus
"Rouda, Harley",N00040666,D,CA48,CA,48,Harley Rouda
"Routledge, Root",N00042797,D,CO03,CO,3,Root Routledge
"Rouzer, David",N00033527,R,NC07,NC,7,David Rouzer
"Row, Shane",N00041228,R,UT03,UT,3,Shane Row
"Rowe, Courtney",N00041102,D,IA01,IA,1,Courtney Rowe
"Rowjee, Roshin",N00041874,R,TX01,TX,1,Roshin Rowjee
"Roy, Chip",N00042268,R,TX21,TX,21,Chip Roy
"Roybal-Allard, Lucille",N00006671,D,CA40,CA,40,Lucille Roybal-Allard
"Royce, Ed",N00008264,R,CA39,CA,39,Ed Royce
"Ruben, David",N00034185,D,AZS2,AZ,S2,David Ruben
"Rudbeck, Thomas",N00043161,I,IL01,IL,1,Thomas Rudbeck
"Ruff, Jonathan Alan",N00042590,R,SC04,SC,4,Jonathan Alan Ruff
"Ruggles, Roger William Dr.",N00042905,D,PA07,PA,7,Roger William Dr. Ruggles
"Ruiz, Raul",N00033510,D,CA36,CA,36,Raul Ruiz
"Rundblade, Shawn Eric",N00040561,D,WI05,WI,5,Shawn Eric Rundblade
"Ruppersberger, Dutch",N00025482,D,MD02,MD,2,Dutch Ruppersberger
"Rush, Bobby L",N00004887,D,IL01,IL,1,Bobby L Rush
"Rushman, Ed",N00043129,I,CA46,CA,46,Ed Rushman
"Rusk, Ted",N00041764,D,CA39,CA,39,Ted Rusk
"Russell, Chris",N00041274,D,AZS2,AZ,S2,Chris Russell
"Russell, Christine",N00043118,R,CA18,CA,18,Christine Russell
"Russell, John",N00042486,D,OH12,OH,12,John Russell
"Russell, Ken",N00041940,D,FL27,FL,27,Ken Russell
"Russell, Steven",N00036175,R,OK05,OK,5,Steven Russell
"Rutagwibira, Aloys",N00033611,R,IL10,IL,10,Aloys Rutagwibira
"Rutherford, John",N00039777,R,FL04,FL,4,John Rutherford
"Ryan, Greg",N00038699,R,MN04,MN,4,Greg Ryan
"Ryan, Heather",N00041105,D,IA03,IA,3,Heather Ryan
"Ryan, Jeremy",N00036705,R,WI01,WI,1,Jeremy Ryan
"Ryan, Mike",N00042930,L,TX10,TX,10,Mike Ryan
"Ryan, Pat",N00041165,D,NY19,NY,19,Pat Ryan
"Ryan, Paul",N00004357,R,WI01,WI,1,Paul Ryan
"Ryan, Terence J",N00041959,D,MA03,MA,3,Terence J Ryan
"Ryan, Tim",N00025280,D,OH13,OH,13,Tim Ryan
"Ryerse, Robert",N00041059,R,AR03,AR,3,Robert Ryerse
"Ryman, Fred",N00039937,R,MOS2,MO,S2,Fred Ryman
"Ryon, Anna",N00040889,D,IA03,IA,3,Anna Ryon
"Rywalski, Eric",N00040868,D,CA45,CA,45,Eric Rywalski
"Saad, Fayrouz",N00041510,D,MI11,MI,11,Fayrouz Saad
"Saavedra, Jazmina",N00043127,R,CA44,CA,44,Jazmina Saavedra
"Saavedra, Jazmina",N00042348,R,CAS2,CA,S2,Jazmina Saavedra
"Sabato, Antonio Jr",N00041072,R,CA26,CA,26,Antonio Jr Sabato
"Sabrin, Murray",N00009941,L,NJS1,NJ,S1,Murray Sabrin
"Saccone, Rick",N00040816,R,PA14,PA,14,Rick Saccone
"Sachs, Noga",N00043335,R,MO02,MO,2,Noga Sachs
"Saettone, Richard",N00042947,L,TX29,TX,29,Richard Saettone
"Sagan, Greg",N00041407,D,TX13,TX,13,Greg Sagan
"Sagliano, Vito",N00041698,R,TN02,TN,2,Vito Sagliano
"Said, Mohammad H",N00027300,D,WAS1,WA,S1,Mohammad H Said
"Saizan, Andie",N00043430,D,LA06,LA,6,Andie Saizan
"Sajna, Cyrus",N00041210,R,TX26,TX,26,Cyrus Sajna
"Salas, Andrew",N00041845,R,NM02,NM,2,Andrew Salas
"Salazar, Maria Elvira",N00042810,R,FL27,FL,27,Maria Elvira Salazar
"Salerno, Lillian",N00041884,D,TX32,TX,32,Lillian Salerno
"Salim, Ahmed",N00040893,D,IL07,IL,7,Ahmed Salim
"Salmon, Scott",N00040929,D,NJ07,NJ,7,Scott Salmon
"Salyer, Michael",N00034802,L,TN01,TN,1,Michael Salyer
"Sam, Geraldine",N00005912,R,TXS2,TX,S2,Geraldine Sam
"Samples, Greg",N00042004,L,TN02,TN,2,Greg Samples
"San Miguel, Edna",N00038591,R,AZ03,AZ,3,Edna San Miguel
"San Nicolas, Michael",N00042619,D,GU00,GU,0,Michael San Nicolas
"Sanborn, Andy",N00041149,R,NH01,NH,1,Andy Sanborn
"Sanchez, Ivan",N00042247,D,TX07,TX,7,Ivan Sanchez
"Sanchez, Jana Lynne",N00040761,D,TX06,TX,6,Jana Lynne Sanchez
"Sanchez, Linda",N00024870,D,CA38,CA,38,Linda Sanchez
"Sanchez, Manny",N00043418,D,CT05,CT,5,Manny Sanchez
"Sanchez, Ruben",N00042417,R,IL04,IL,4,Ruben Sanchez
"Sanders, Bernie",N00000528,I,VTS1,VT,S1,Bernie Sanders
"Sanders, Justin",N00043046,R,SC04,SC,4,Justin Sanders
"Sanders, Levi",N00042871,D,NH01,NH,1,Levi Sanders
"Sandman, Ray Skip",N00036641,I,MN08,MN,8,Ray Skip Sandman
"Sandman, Shastina",N00043131,R,CA48,CA,48,Shastina Sandman
"Sanford, Mark",N00002424,R,SC01,SC,1,Mark Sanford
"Sangari, Sargis",N00041950,R,IL09,IL,9,Sargis Sangari
"Santa Maria, Brian",N00040918,D,MN03,MN,3,Brian Santa Maria
"Santamaria, Carlos",N00039297,R,CA05,CA,5,Carlos Santamaria
"Santana, Edwin Jr",N00040770,D,VA01,VA,1,Edwin Jr Santana
"Santopietro, Justin",N00042299,D,VA09,VA,9,Justin Santopietro
"Santos, Lee",N00042939,L,TX21,TX,21,Lee Santos
"Santos, Manny",N00043013,R,CT05,CT,5,Manny Santos
"Sapp, Judson",N00042400,R,FL03,FL,3,Judson Sapp
"Sarbanes, John",N00027751,D,MD03,MD,3,John Sarbanes
"Sarega, Andrew",N00042383,R,CA39,CA,39,Andrew Sarega
"Sargent, Bill",N00041879,R,TX14,TX,14,Bill Sargent
"Sarnoski, Jason",N00041680,R,NJ05,NJ,5,Jason Sarnoski
"Sarver, Jenifer",N00042269,R,TX21,TX,21,Jenifer Sarver
"Sauberman, Joshua",N00041686,I,NY03,NY,3,Joshua Sauberman
"Saulibio, Dave",N00043613,I,WA05,WA,5,Dave Saulibio
"Savoie, Tammy",N00043428,D,LA01,LA,1,Tammy Savoie
"Sawdy, Steven",N00042378,R,AZ08,AZ,8,Steven Sawdy
"Sawyer, John Wilbur III",N00042809,R,FL17,FL,17,John Wilbur III Sawyer
"Sawyers, Ryan",N00040997,D,VA01,VA,1,Ryan Sawyers
"Sax, Mike",N00042182,3,NY02,NY,2,Mike Sax
"Sayed, Shamus",N00041767,R,CA50,CA,50,Shamus Sayed
"Sbaih, Jesse",N00037526,D,NVS1,NV,S1,Jesse Sbaih
"Scalise, Steve",N00009660,R,LA01,LA,1,Steve Scalise
"Scanlon, Mary Gay",N00042706,D,PA05,PA,5,Mary Gay Scanlon
"Schaarsmith, Deanie",N00042389,D,CA48,CA,48,Deanie Schaarsmith
"Schaffner, Paul",N00031054,R,ND01,ND,1,Paul Schaffner
"Schafranek, Robert",N00038834,R,TX29,TX,29,Robert Schafranek
"Schakowsky, Jan",N00004724,D,IL09,IL,9,Jan Schakowsky
"Scharer, Gene",N00009575,D,AZ08,AZ,8,Gene Scharer
"Schatzle, Karen Lee",N00043125,I,CA39,CA,39,Karen Lee Schatzle
"Schaupp, Charles",N00007548,R,CA03,CA,3,Charles Schaupp
"Scheinberg, Aaron",N00041427,D,WV02,WV,2,Aaron Scheinberg
"Schenkenfelder, Joseph",N00043528,D,TN02,TN,2,Joseph Schenkenfelder
"Schiess, John",N00033362,R,WIS1,WI,S1,John Schiess
"Schiff, Adam",N00009585,D,CA28,CA,28,Adam Schiff
"Schiffman, Steve",N00039555,D,NV03,NV,3,Steve Schiffman
"Schiller, Jill",N00042479,D,OH02,OH,2,Jill Schiller
"Schiller, Nick",N00041578,D,MI02,MI,2,Nick Schiller
"Schmid, Claude",N00043251,R,SC04,SC,4,Claude Schmid
"Schmitt, Michael D",N00042612,R,CA49,CA,49,Michael D Schmitt
"Schneider, Brad",N00033101,D,IL10,IL,10,Brad Schneider
"Schneider, Jan",N00025314,D,FL16,FL,16,Jan Schneider
"Schneider, Joseph",N00042847,R,MA06,MA,6,Joseph Schneider
"Schneider, Mac",N00043031,D,ND01,ND,1,Mac Schneider
"Schnibbe, Steve",N00041986,R,NY21,NY,21,Steve Schnibbe
"Schofield, Jack Jr.",N00043444,D,NV02,NV,2,Jack Jr. Schofield
"Scholten, JD",N00041465,D,IA04,IA,4,JD Scholten
"Schoolcraft, Jamie",N00043029,D,MO07,MO,7,Jamie Schoolcraft
